32	6.632e-06	77.0383	1.4778e-05	5.34519e-15
64	1.3706e-05	207.872	1.017e-05	1.25438e-14
128	3.0758e-05	700.806	2.2452e-05	2.89392e-14
256	6.907e-05	1954.14	5.0906e-05	1.94512e-13
512	0.000152727	5451.93	0.000112713	7.33517e-13
1024	0.000510262	16071.2	0.000386679	3.6634e-12
2048	0.00074293	44665	0.000534407	6.73706e-12
4096	0.0016524	128017	0.00115182	4.60762e-11
8192	0.00541022	364698	0.00250656	8.04855e-11
16384	0.00812436	1.0369e+06	0.00585426	7.9962e-10
32768	0.0180918	2.94942e+06	0.0126587	4.53442e-09
65536	0.0364378	8.36962e+06	0.0268035	1.50543e-08
131072	0.0704224	2.36634e+07	0.0579323	6.91769e-08
262144	0.149818	6.70249e+07	0.116441	1.97203e-07
524288	0.345495	1.89143e+08	0.246003	9.02052e-07
1048576	0.758158	5.3589e+08	0.556322	3.3837e-06
2097152	1.51113	1.51536e+09	1.18117	9.22355e-06
4194304	3.13437	4.28804e+09	2.37093	6.3008e-05
8388608	6.3405	1.21296e+10	5.02432	0.00020588
16777216	13.5289	3.4323e+10	9.89754	0.00108076
